 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6464 (Press CTRL+C to quit)
127.0.0.1 - - [03/Jul/2022 21:07:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Jul/2022 21:07:12] "GET /static/img/malgalogo.PNG HTTP/1.1" 200 -
127.0.0.1 - - [03/Jul/2022 21:07:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:15] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Jul/2022 21:07:40] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:42] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:42] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:43] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:44] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:44] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:44] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:44] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:07:45] "GET /favicon.ico HTTP/1.1" 404 -
